citizenId,firstName,lastName,email,phoneNo,password,address,latitude,longitude
,Nichole,Verma,nichole_verma2327@gmail.com,8924671092,LGF69CRO0HV,"Noida Extension, Noida, Delhi NCR",28.60885,77.46056
,Sharon,Chandrasekar,c-sharon@yahoo.com,6654529828,GXH27EFS2TY,"Sector 79, Gurgaon, Delhi NCR",28.37423557,76.95241631
,Zena,Vijaya,vijayazena@yahoo.com,6752074068,YJP73RIU3WI,"Vaishali, Ghaziabad, Delhi NCR",28.645769,77.38511
,Elvis,Shan,shan-elvis314@yahoo.com,9857182947,GDP56WRF4TT,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",28.566914,77.436434
,Patience,Srivastav,patience-srivastav@gmail.com,8486856150,HKU71VTR7NL,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",28.520732,77.356491
,Elliott,Pal,e.pal5535@gmail.com,9471170290,MRH93WSJ3MQ,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",28.62804,77.437809
,Dominique,Jai,jaidominique5858@gmail.com,9391984268,MPQ61KRG8WO,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",28.610645,77.455837
,Odysseus,Rastogi,orastogi8865@yahoo.com,9145573046,SFU52BVX3QG,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",28.471233,76.969597
,Shad,Punj,punjshad@yahoo.com,9731095787,CHU23COW7TE,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",28.5814311,77.4528192
,Maggy,Sharma,msharma@yahoo.com,9437928191,SOO71JYV5BX,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",28.614181,77.427713
,Patience,Neelam,p-neelam@yahoo.com,7024594522,VPH61LOT0OD,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72407532,77.09558105
,Daquan,Tyagi,d.tyagi@gmail.com,8991316383,LWN44KVI2AK,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",28.436305,77.13605
,Donovan,Sen,d.sen@gmail.com,6433369110,WEJ76DCL3XL,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",28.51313972,77.0259552
,Cody,Chande,c.cody@yahoo.com,7935374198,VAU67VJL9IB,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",28.50746138,77.40781667
,Nina,Ganesh,gnina8108@gmail.com,8439532272,YHX87YPT6TG,"G T Road, Ghaziabad, Delhi NCR",28.679009,77.34929514
,Adrian,Lalit,lalit_adrian7196@gmail.com,8408679719,YWJ42PFU7HV,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72143555,77.10701752
,Roth,Sharma,rothsharma@gmail.com,7097971559,GWC11OFS9WH,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",28.72721291,77.09606171
,Sonya,Kapoor,kapoor.sonya5820@gmail.com,9066316649,WFK16HLP8FX,"Noida Extension, Noida, Delhi NCR",28.61607805,77.42810225
,Vernon,Samuel,samuelvernon@gmail.com,6525860615,BZO76YUB3BH,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",28.64431,77.33178711
,Amelia,Narang,a.narang@yahoo.com,6900665693,OFO42BBE0JS,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",28.54692971,77.35438729
,Boris,Sharma,sharmaboris525@yahoo.com,6083300168,PSW47MIS8CO,"Sector 37C, Gurgaon, Delhi NCR",28.449384,76.98441
,Alma,Subram,subram_alma8243@yahoo.com,7866199157,RIX87SFB1PZ,"Sushant Lok 2, Gurgaon, Delhi NCR",28.423049,77.08741
,Noah,Muthu,n.muthu@yahoo.com,6564102333,TMZ61ANW5UU,"Sector 29, Noida, Delhi NCR",28.56973716,77.33241167
,Bevis,Kishore,kishore_bevis8370@gmail.com,8976023638,MCH02WQJ8KQ,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",28.529146,77.355843
,Idola,Muthu,muthu_idola@yahoo.com,7263147731,PKG87OHM5AB,"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",28.58749935,77.44316979
,Melinda,Mittal,mittalmelinda8631@yahoo.com,7215521163,BTJ31HFU8PG,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",28.616204,77.422256
,Axel,Malhotra,a-malhotra8059@gmail.com,8628474572,BUR76SPM6XD,"Noida extension., Noida Extension, Greater Noida, Delhi NCR",28.57223,77.474898
